City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Tuy Hoa,VN,76.26,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
370,Sarangani,PH,83.21,light rain,5.4,125.46,Ballistic Islet
373,Porto Velho,BR,86.0,scattered clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
374,Manggar,ID,80.78,overcast clouds,-2.88,108.27,Guest Hotel
375,Mogadishu,SO,80.96,overcast clouds,2.04,45.34,Hotel Juba
381,Jos,NG,79.03,few clouds,9.92,8.9,Silk Suites
383,Andros Town,BS,82.4,broken clouds,24.7,-77.77,Hanks place
389,Danshui,CN,78.01,light rain,22.8,114.47,Grand Skylight International Hotel Huizhou
392,Caravelas,BR,80.69,broken clouds,-17.71,-39.25,Pousada dos Navegantes
393,Canoinhas,BR,80.26,clear sky,-26.18,-50.39,Santa Catarina Plaza Hotel
394,Kattivakkam,IN,80.6,few clouds,13.22,80.32,St. Joseph Thirumana mandapam
400,Likasi,CD,78.1,broken clouds,-10.98,26.73,TABERNACLE DE LIKASI
401,Galle,LK,79.54,light rain,6.04,80.22,Amangalla
406,Beyla,GN,87.22,broken clouds,8.68,-8.63,DIAN SINKO
409,Yanam,IN,82.4,mist,16.73,82.22,The Regency Hotel
416,Lahaina,US,78.8,clear sky,20.88,-156.68,Lahaina Shores Beach Resort
419,Savannah Bight,HN,82.22,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
425,Pundaguitan,PH,82.8,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
426,Xique-Xique,BR,86.85,light rain,-10.82,-42.73,Hotel J. Macedo
432,Norsup,VU,79.86,light rain,-16.07,167.38,Nabelchel Bungalows
