City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Goya,AR,2020-11-05 15:17:10,-29.14,-59.26,74.57,35,23,10.11
144,Saint-Pierre,RE,2020-11-05 15:17:10,-21.34,55.48,73.4,73,16,14.99
145,Kavieng,PG,2020-11-05 15:17:10,-2.57,150.8,81.95,69,100,7.63
146,Praia,CV,2020-11-05 15:17:10,14.92,-23.51,84.2,62,40,5.82
147,Byron Bay,AU,2020-11-05 15:17:10,-28.65,153.62,68.0,72,90,14.99
148,Chokurdakh,RU,2020-11-05 15:17:10,70.63,147.92,0.64,94,98,9.51
149,Khani,GE,2020-11-05 15:17:11,41.96,42.96,64.4,82,90,6.93
150,Sri Aman,MY,2020-11-05 15:17:11,1.24,111.46,77.0,94,100,0.56
151,Kodiak,US,2020-11-05 15:17:11,57.79,-152.41,32.0,82,1,8.05
152,Mongo,TD,2020-11-05 15:17:11,12.18,18.69,95.45,15,100,10.11
153,Salta,AR,2020-11-05 15:17:11,-24.79,-65.41,78.8,27,0,3.36
154,Ormara,PK,2020-11-05 15:17:11,25.21,64.64,77.38,70,0,8.95
155,Boa Vista,BR,2020-11-05 15:17:12,2.82,-60.67,84.2,66,40,5.82
156,Cordele,US,2020-11-05 15:17:12,31.96,-83.78,62.6,59,90,8.05
157,Tavda,RU,2020-11-05 15:17:12,58.04,65.27,31.84,98,62,6.87
158,Wattegama,LK,2020-11-05 15:17:12,6.8,81.48,80.6,94,40,5.82
159,Centralia,US,2020-11-05 15:15:11,46.72,-122.95,55.99,100,100,7.05
160,Ambilobe,MG,2020-11-05 15:17:13,-13.2,49.05,79.48,71,44,3.69
161,Muravlenko,RU,2020-11-05 15:17:13,63.79,74.52,13.33,97,35,4.83
162,Buhovo,BG,2020-11-05 15:17:13,42.77,23.57,51.8,66,0,5.82
163,Airai,TL,2020-11-05 15:17:13,-8.93,125.41,63.93,70,65,1.68
164,Brae,GB,2020-11-05 15:17:13,60.4,-1.35,51.8,93,75,31.09
165,Vostok,RU,2020-11-05 15:17:13,46.49,135.88,24.21,96,99,4.9
166,Kandi,BJ,2020-11-05 15:17:14,11.13,2.94,97.99,18,63,8.81
167,Bredasdorp,ZA,2020-11-05 15:17:14,-34.53,20.04,68.0,82,48,8.05
168,Beloha,MG,2020-11-05 15:17:14,-25.17,45.05,74.88,66,40,9.6
169,Port Lincoln,AU,2020-11-05 15:17:14,-34.73,135.87,52.2,73,100,8.43
170,Cidreira,BR,2020-11-05 15:17:14,-30.18,-50.21,67.15,75,55,17.11
171,Livingston,GB,2020-11-05 15:17:14,55.9,-3.52,55.4,82,20,14.99
172,Sibolga,ID,2020-11-05 15:17:14,1.74,98.78,78.82,77,99,2.98
173,Springbok,ZA,2020-11-05 15:17:15,-29.66,17.89,64.78,57,56,17.0
174,Zhelyabovka,UA,2020-11-05 15:17:15,45.4,34.76,53.19,67,0,4.72
175,Auki,SB,2020-11-05 15:17:15,-8.77,160.7,78.53,83,100,3.13
176,Deputatskiy,RU,2020-11-05 15:17:15,69.3,139.9,-14.3,79,55,1.95
177,San Andres,CO,2020-11-05 15:17:15,12.58,-81.7,78.8,94,90,4.7
178,Tessalit,ML,2020-11-05 15:17:15,20.2,1.01,93.38,11,30,1.12
179,Boyolangu,ID,2020-11-05 15:17:16,-8.12,111.89,77.81,87,100,3.96
180,Wajir,KE,2020-11-05 15:17:16,1.75,40.06,85.69,55,56,10.11
181,Chuy,UY,2020-11-05 15:17:16,-33.7,-53.46,68.68,61,1,13.85
182,Aasiaat,GL,2020-11-05 15:17:17,68.71,-52.87,15.12,94,97,10.85
183,Piacabucu,BR,2020-11-05 15:17:17,-10.41,-36.43,85.24,61,32,14.94
184,Suntar,RU,2020-11-05 15:17:18,62.14,117.63,6.3,95,67,2.15
185,Sao Miguel Do Araguaia,BR,2020-11-05 15:17:18,-13.28,-50.16,93.83,42,49,2.01
186,Maragogi,BR,2020-11-05 15:15:17,-9.01,-35.22,84.18,65,97,11.95
187,Constitucion,CL,2020-11-05 15:14:59,-35.33,-72.42,61.05,43,0,17.6
188,Grimma,DE,2020-11-05 15:17:18,51.23,12.72,48.99,75,0,4.72
189,Chase,CA,2020-11-05 15:17:19,50.82,-119.69,57.2,64,100,6.93
190,Krasnoselkup,RU,2020-11-05 15:17:19,65.7,82.47,-4.67,89,0,3.96
191,Walvis Bay,NA,2020-11-05 15:17:19,-22.96,14.51,73.4,49,0,4.7
192,Saint-Philippe,RE,2020-11-05 15:17:19,-21.36,55.77,73.4,73,57,14.99
193,Constantine,DZ,2020-11-05 15:17:19,36.37,6.61,75.2,29,0,3.36
194,Ancud,CL,2020-11-05 15:17:20,-41.87,-73.82,60.01,81,75,8.05
195,Saldanha,ZA,2020-11-05 15:17:20,-33.01,17.94,64.4,93,83,8.05
196,Comodoro Rivadavia,AR,2020-11-05 15:16:59,-45.87,-67.5,66.2,34,0,19.46
197,Killybegs,IE,2020-11-05 15:17:20,54.63,-8.45,50.0,93,90,4.7
198,Malanje,AO,2020-11-05 15:17:20,-9.54,16.34,84.2,74,75,8.05
199,Pangnirtung,CA,2020-11-05 15:17:20,66.15,-65.71,10.4,55,20,13.87
200,Taoudenni,ML,2020-11-05 15:17:20,22.68,-3.98,99.55,8,11,13.85
201,Severo-Kurilsk,RU,2020-11-05 15:17:21,50.68,156.12,35.92,83,87,31.83
202,Wanning,CN,2020-11-05 15:17:21,18.8,110.4,74.41,93,100,11.52
203,Port Hardy,CA,2020-11-05 15:13:57,50.7,-127.42,46.4,81,75,3.36
204,Kargil,IN,2020-11-05 15:17:21,34.57,76.1,31.59,81,100,3.76
205,Bilma,NE,2020-11-05 15:17:21,18.69,12.92,87.84,13,5,4.85
206,Khatanga,RU,2020-11-05 15:17:21,71.97,102.5,-8.59,90,26,4.97
207,Otane,NZ,2020-11-05 15:17:21,-39.88,176.63,55.72,96,97,2.59
