City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Tiksi,RU,71.69,128.87,3.09,94,100,2.21,overcast clouds
100,Binzhou,CN,37.37,118.02,54.0,53,0,6.91,clear sky
101,Alofi,NU,-19.06,-169.92,71.6,88,92,8.05,overcast clouds
102,Carnarvon,AU,-24.87,113.63,71.6,94,75,12.75,broken clouds
103,Korla,CN,41.76,86.15,39.85,59,69,4.27,broken clouds
104,Progreso,MX,21.28,-89.67,82.0,78,75,6.93,broken clouds
105,Iturama,BR,-19.73,-50.2,90.79,25,0,5.46,clear sky
106,Gualaquiza,EC,-3.4,-78.55,83.3,44,13,4.12,light rain
107,Paita,PE,-5.09,-81.11,75.2,53,20,13.87,few clouds
108,Birao,CF,10.28,22.79,85.3,31,26,4.85,scattered clouds
109,Castro,BR,-24.79,-50.01,74.14,36,0,4.29,clear sky
110,Paraiso,CR,9.84,-83.87,69.8,100,75,1.12,drizzle
111,Vostok,RU,46.49,135.88,32.67,96,60,6.15,broken clouds
112,Faanui,PF,-16.48,-151.75,79.65,77,4,17.22,light rain
113,Guane,CU,22.2,-84.09,81.61,70,100,17.45,overcast clouds
114,Hami,CN,42.8,93.45,37.27,61,0,4.34,clear sky
115,Biltine,TD,14.53,20.92,86.56,16,0,10.56,clear sky
116,Port Alfred,ZA,-33.59,26.89,68.41,69,100,19.89,overcast clouds
117,Bubaque,GW,11.28,-15.83,84.24,72,6,9.95,clear sky
118,Ponta Do Sol,PT,32.67,-17.1,69.8,46,20,6.93,few clouds
119,Kirakira,SB,-10.45,161.92,79.14,80,96,5.48,moderate rain
120,Peniche,PT,39.36,-9.38,61.0,81,100,10.0,overcast clouds
121,Atlantic City,US,39.36,-74.42,62.6,82,1,5.23,clear sky
122,Berdigestyakh,RU,62.1,126.7,0.99,93,93,2.51,overcast clouds
123,Mataura,NZ,-46.19,168.86,39.97,95,5,2.62,clear sky
124,Belyy Yar,RU,53.6,91.39,32.0,86,100,4.47,overcast clouds
125,Arman,RU,59.7,150.17,7.83,86,100,7.18,overcast clouds
126,Gillette,US,44.29,-105.5,60.01,30,1,19.17,clear sky
127,Cherskiy,RU,68.75,161.3,13.06,95,14,16.98,few clouds
128,Hailar,CN,49.2,119.7,23.54,95,42,10.8,scattered clouds
129,Chettipalaiyam,IN,10.9,77.07,78.8,78,40,3.36,haze
130,Constantine,DZ,36.37,6.61,80.6,19,40,5.82,scattered clouds
131,Srednekolymsk,RU,67.45,153.68,7.93,94,100,14.88,overcast clouds
132,Tuatapere,NZ,-46.13,167.68,42.42,84,5,7.27,clear sky
133,Peterhead,GB,57.51,-1.8,53.01,81,7,9.17,clear sky
134,Atchison,US,39.56,-95.12,57.2,93,90,10.29,mist
135,Ilulissat,GL,69.22,-51.1,12.2,66,40,21.92,scattered clouds
136,Dali,CN,25.7,100.18,51.94,77,0,2.95,clear sky
137,Sigulda,LV,57.15,24.86,51.01,92,5,5.99,clear sky
138,Hobart,AU,-42.88,147.33,44.6,56,12,8.05,few clouds
139,Fortuna,US,40.6,-124.16,46.0,100,90,3.36,overcast clouds
140,Pevek,RU,69.7,170.31,22.46,96,100,20.56,overcast clouds
141,Hofn,IS,64.25,-15.21,41.0,65,20,24.16,shower rain
142,Victoria,HK,22.29,114.16,79.0,58,54,5.99,light rain
143,Itarema,BR,-2.92,-39.92,88.59,51,36,19.84,scattered clouds
144,Caucaia,BR,-3.74,-38.65,87.8,62,40,19.46,scattered clouds
145,Butaritari,KI,3.07,172.79,81.37,75,91,16.55,overcast clouds
146,College,US,64.86,-147.8,16.0,85,90,5.82,heavy snow
147,Bethel,US,41.37,-73.41,63.0,63,1,12.75,clear sky
148,Severomuysk,RU,56.15,113.43,3.45,94,94,4.85,overcast clouds
149,Bilma,NE,18.69,12.92,81.12,16,5,5.97,clear sky
150,San Patricio,US,28.02,-97.52,77.0,83,20,4.7,few clouds
151,Cidreira,BR,-30.18,-50.21,70.61,70,3,14.94,clear sky
152,Lebu,CL,-37.62,-73.65,56.32,64,0,21.72,clear sky
153,Los Llanos De Aridane,ES,28.66,-17.92,75.2,57,40,11.41,scattered clouds
154,General Cepeda,MX,25.38,-101.45,63.97,39,0,2.89,clear sky
155,Severo-Kurilsk,RU,50.68,156.12,35.33,81,78,22.44,broken clouds
156,Portland,US,45.52,-122.68,48.99,81,90,4.7,light rain
